representation,train_sizes,gradient_steps,completed_seeds,mean_self_play_games,mean_environment_steps,mean_loss,mean_policy_loss,mean_value_loss,mean_wall_clock_seconds
grid_gnn,"[5, 7, 9]",120,5,60.0,1003.8,2.956882979869843,2.0207913243770603,0.9360916602611542,256.54328370001167
grid_gnn,"[5, 7, 9]",160,5,80.0,1279.0,2.8829808712005613,1.9791615736484527,0.9038193035125733,327.1334859000053
grid_gnn,"[5, 7, 9]",200,5,100.0,1576.8,2.804056043624878,1.911946121454239,0.8921099227666854,399.2103596400004
grid_gnn,"[5, 7, 9]",40,5,20.0,357.6,2.914726266860962,2.009209464788437,0.9055168062448502,90.03091762010008
grid_gnn,"[5, 7, 9]",80,5,40.0,694.8,2.9328799533843997,2.0328974103927613,0.8999825406074524,178.12300240001642
padded_cnn,"[5, 7, 9]",120,5,60.0,1030.6,3.025607523918152,2.111923576593399,0.9136839562654495,298.76490656002426
padded_cnn,"[5, 7, 9]",160,5,80.0,1386.2,2.9924552488327025,2.076253170967102,0.9162020921707154,400.74070923998954
padded_cnn,"[5, 7, 9]",200,5,100.0,1710.4,2.9304903745651245,2.0371949338912962,0.8932954424619675,489.76528210002
padded_cnn,"[5, 7, 9]",40,5,20.0,322.6,3.0709259963035587,2.103937573432922,0.9669884222745896,84.62393398000859
padded_cnn,"[5, 7, 9]",80,5,40.0,700.4,3.0480104422569276,2.10506226181984,0.9429481834173202,200.09215587996877
topology_gnn,"[5, 7, 9]",120,5,60.0,982.2,2.8292164301872256,1.9662571096420287,0.8629593229293823,276.13649925999346
topology_gnn,"[5, 7, 9]",160,5,80.0,1301.4,2.818690240383148,1.9372292363643644,0.8814610117673874,368.0056747000199
topology_gnn,"[5, 7, 9]",200,5,100.0,1574.8,2.8184640216827392,1.93724555850029,0.8812184441089631,440.0322365399916
topology_gnn,"[5, 7, 9]",40,5,20.0,293.8,2.8880280709266666,2.0400122499465945,0.8480158221721649,81.8752059399616
topology_gnn,"[5, 7, 9]",80,5,40.0,647.4,2.902713046073914,1.999537966251373,0.903175067305565,181.1152697800193
